입학년도,교과군,과목명,과목유형,선택규칙,학점,1-1학기,1-2학기,2-1학기,2-2학기,3-1학기,3-2학기
2025,과학,고급 화학,진로선택,택4(3),3,,,,,○,
2025,정보,인공지능 기초,진로선택,택4(3),3,,,,,○,
2025,제2외국어/한문,중국 문화,융합선택,택4(3),3,,,,,○,
2025,제2외국어/한문,일본 문화,융합선택,택4(3),3,,,,,○,
2025,제2외국어/한문,한문 고전 읽기,진로선택,택4(3),3,,,,,○,
2025,체육,운동과 건강,진로선택,택4(3),3,,,,,○,
2025,예술,음악과 미디어,융합선택,택4(3),3,,,,,○,
2025,예술,미술과 매체,융합선택,택4(3),3,,,,,○,
2025,예술,음악 연주와 창작,진로선택,택1(2),2,,,,,○,
2025,예술,미술 창작,진로선택,택1(2),2,,,,,○,
2025,예술,음악 감상과 비평,진로선택,택1(2),2,,,,,,○
2025,예술,미술 감상과 비평,진로선택,택1(2),2,,,,,,○
2025,국어,독서 토론과 글쓰기,융합선택,택3(3),3,,,,,,○
2025,수학,고급 미적분,진로선택,택3(3),3,,,,,,○
2025,수학,수학과제 탐구,융합선택,택3(3),3,,,,,,○
2025,영어,실생활 영어 회화,융합선택,택3(3),3,,,,,,○
2025,정보,소프트웨어와 생활,진로선택,택3(3),3,,,,,,○
2025,제2외국어/한문,심화 중국어,진로선택,택3(3),3,,,,,,○
2025,제2외국어/한문,심화 일본어,진로선택,택3(3),3,,,,,,○
2025,제2외국어/한문,한문 고전 읽기,진로선택,택3(3),3,,,,,,○
2025,체육,기초 체육 전공 실기,진로선택,택3(3),3,,,,,,○
2025,예술,미술 전공 실기,진로선택,택3(3),3,,,,,,○
2025,예술,음악 이론,진로선택,택3(3),3,,,,,,○
2025,사회,역사로 탐구하는 현대 세계,융합선택,택3(3),3,,,,,,○
2025,사회,기후변화와 지속가능한 세계,융합선택,택3(3),3,,,,,,○
2025,사회,금융과 경제생활,융합선택,택3(3),3,,,,,,○
2025,사회,인문학과 윤리,진로선택,택3(3),3,,,,,,○
2025,과학,과학의 역사와 문화,융합선택,택3(3),3,,,,,,○
2025,과학,기후변화와 환경생태,융합선택,택3(3),3,,,,,,○
